unit_address,tenancy_start_date,rent_ceiling,unit_status,housing_services,bed,occ
1770 LA LOMA AVE #11,8/15/2015,"$4,589.52",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Gas, Heat, Laundry Access, Other, Water</p>",1,3
1770 LA LOMA AVE #12,8/15/2015,"$5,473.67",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",0,4
1770 LA LOMA AVE #21,8/15/2015,"$2,747.25",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",0,2
1770 LA LOMA AVE #22,8/15/2015,"$2,716.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",0,2
1770 LA LOMA AVE #23,8/15/2015,"$4,745.73",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",1,3
1770 LA LOMA AVE #24,8/15/2015,"$3,132.57",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",1,2
1770 LA LOMA AVE #25,8/15/2015,"$3,132.57",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",0,2
1770 LA LOMA AVE #26,8/15/2015,"$2,955.53",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Parking, Water</p>",0,2
1770 LA LOMA AVE #27,8/15/2015,"$2,747.25",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",0,2
1770 LA LOMA AVE #31,8/15/2015,"$2,851.39",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",0,2
1770 LA LOMA AVE #32,8/15/2015,"$2,684.76",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",1,2
1770 LA LOMA AVE #33,8/15/2015,"$2,747.25",<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,0,2
1770 LA LOMA AVE #34,8/15/2015,"$2,830.56",<p>RENTED - Rented or Available</p>,"<p>Appliances, Cable TV, Clean/Janitor, Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",0,2
3033 BATEMAN ST,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Garbage, Parking, Water</p>",-1,-1
3035 BATEMAN ST #A,n/a,n/a,<p>DUPLEX - Owner Occ duplex since 4/24/2015</p>,"<p>Garbage, Parking, Water</p>",-1,-1
1152 FRANCISCO ST,7/1/2013,"$1,725.08",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Storage, Water</p>",2,2
1154 FRANCISCO ST,7/1/2017,"$2,200.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Storage, Water</p>",2,2
1156 FRANCISCO ST,n/a,n/a,<p>OOCC - Owner Occupied since 6/23/1997</p>,<p>(no active services)</p>,-1,-1
2100 6TH ST #LOWER,11/1/2017,"$2,236.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,3
2100 6TH ST #UPPER,3/6/2009,"$2,248.12",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",3,2
818 ADDISON ST,1/15/2016,"$1,739.10",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,2
2123 RUSSELL ST #GARDEN UNIT,n/a,n/a,<p>OOCC - Owner Occupied since 1/1/2004</p>,<p>(no active services)</p>,-1,-1
2123 RUSSELL ST #UPPER UNIT,n/a,n/a,<p>DUPLEX - Owner Occ duplex since 1/1/2004</p>,<p>(no active services)</p>,-1,-1
3003 HARPER ST,6/1/2012,"$1,370.64",<p>RENTED - Rented or Available</p>,"<p>Laundry Access, Parking, Water</p>",2,1
3005 HARPER ST,6/1/2012,"$2,001.13",<p>RENTED - Rented or Available</p>,"<p>Laundry Access, Parking, Water</p>",3,3
3007 HARPER ST,3/15/2014,"$1,532.70",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",2,3
917 HEARST AVE,n/a,n/a,<p>OOCC - Owner Occupied since 8/5/2008</p>,<p>(no active services)</p>,-1,-1
917 HEARST AVE #A,1/1/2018,"$3,000.00",<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Heat, Laundry Access, Other, Water</p>",1,1
917 HEARST AVE #B,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/1/2015</p>,<p>(no active services)</p>,-1,-1
1134 WALNUT ST #A,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Garbage, Parking</p>",-1,-1
1134 WALNUT ST #B,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Garbage, Parking</p>",-1,-1
1638 RUSSELL ST,3/1/2007,"$1,548.22",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",2,2
1640 RUSSELL ST,n/a,n/a,<p>NAR - Not Available for Rent since 5/1/2004</p>,"<p>Garbage, Other, Storage, Water</p>",-1,-1
1642 RUSSELL ST #A,2/1/2018,"$1,695.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Gas, Water</p>",1,1
1642 RUSSELL ST #B,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Electricity, Furnishings, Garbage, Gas, Other, Parking, Storage, Water</p>",-1,-1
1642 RUSSELL ST #C,n/a,n/a,<p>NAR - Not Available for Rent since 12/1/1998</p>,"<p>Electricity, Garbage, Gas, Other, Storage, Water</p>",-1,-1
3105 TELEGRAPH AVE #1,12/10/2016,"$2,813.25",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,1
3105 TELEGRAPH AVE #2,5/21/2012,"$2,187.53",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",1,1
3107 TELEGRAPH AVE #1,6/1/2012,"$1,748.93",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",1,1
3107 TELEGRAPH AVE #2,9/1/2011,"$1,784.23",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat</p>",2,2
1342 BURNETT ST #A,n/a,n/a,<p>OOCC - Owner Occupied since 7/3/2007</p>,<p>(no active services)</p>,-1,-1
1342 BURNETT ST #B,n/a,n/a,<p>DUPLEX - Owner Occ duplex since 9/1/2007</p>,<p>(no active services)</p>,-1,-1
3018 SHATTUCK AVE,n/a,n/a,<p>OOCC - Owner Occupied since 11/1/2003</p>,"<p>Electricity, Gas</p>",-1,-1
3020 SHATTUCK AVE,5/7/2011,"$1,784.23",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",2,1
,12/31/1995,n/a,<p>OOCC - Owner Occupied</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 6/30/1994</p>,<p>(no active services)</p>,-1,-1
2240 10TH ST #A,12/1/2010,"$1,449.69",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Water</p>",1,1
2240 10TH ST #B,10/1/2016,"$1,841.40",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Water</p>",1,2
2242 10TH ST,n/a,"$1,059.38",<p>RENTED - Rented or Available since 7/15/2011</p>,"<p>Garbage, Water</p>",1,-1
2244 10TH ST,12/15/2014,"$1,374.14",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,1
2246 10TH ST,11/12/2016,"$1,841.40",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,1
1638 RUSSELL ST,3/1/2007,"$1,548.22",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Water</p>",2,2
1640 RUSSELL ST,n/a,n/a,<p>NAR - Not Available for Rent since 5/1/2004</p>,"<p>Garbage, Other, Storage, Water</p>",-1,-1
1642 RUSSELL ST #A,2/1/2018,"$1,695.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Gas, Water</p>",1,1
1642 RUSSELL ST #B,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Electricity, Furnishings, Garbage, Gas, Other, Parking, Storage, Water</p>",-1,-1
1642 RUSSELL ST #C,n/a,n/a,<p>NAR - Not Available for Rent since 12/1/1998</p>,"<p>Electricity, Garbage, Gas, Other, Storage, Water</p>",-1,-1
2611 DANA ST #A,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,<p>Garbage</p>,-1,-1
2611 DANA ST #B,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,<p>Garbage</p>,-1,-1
154 AVENIDA DR,n/a,n/a,<p>OOCC - Owner Occupied since 5/29/2008</p>,"<p>Laundry Access, Parking, Storage</p>",-1,-1
154 AVENIDA DR #LOWER,n/a,n/a,<p>OOCC - Owner Occupied since 5/29/2008</p>,<p>(no active services)</p>,-1,-1
2406 VIRGINIA ST,8/1/2017,"$3,900.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,2
2408 VIRGINIA ST,5/1/2017,"$3,800.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",2,4
1202 DELAWARE ST,n/a,n/a,<p>OOCC - Owner Occupied since 10/1/1999</p>,"<p>Garbage, Water</p>",-1,-1
1204 DELAWARE ST,7/1/2017,"$2,650.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Heat, Laundry Access, Parking</p>",1,2
1206 DELAWARE ST,n/a,n/a,<p>OOCC - Owner Occupied since 7/24/1990</p>,<p>(no active services)</p>,-1,-1
1208 DELAWARE ST,n/a,n/a,<p>OOCC - Owner Occupied since 1/1/2006</p>,"<p>Appliances, Garbage, Storage, Water</p>",-1,-1
1717 HOPKINS ST,n/a,n/a,<p>OOCC - Owner Occupied since 7/2/2016</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",-1,-1
1717 HOPKINS ST #UPST,7/15/2016,"$2,557.50",<p>RENTED - Rented or Available</p>,"<p>Appliances, Furnishings, Garbage, Laundry Access</p>",1,2
1717 HOPKINS ST #DOWNST,7/22/2013,"$1,401.63",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,1
1702 UNIVERSITY AVE #1,7/31/2015,"$1,562.12",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",0,1
1702 UNIVERSITY AVE #2,8/15/2014,"$1,691.25",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access, Water</p>",1,1
1702 UNIVERSITY AVE #3,7/1/2014,"$1,374.14",<p>RENTED - Rented or Available</p>,<p>Water</p>,0,1
1702 UNIVERSITY AVE #4,10/2/2015,"$1,353.84",<p>RENTED - Rented or Available</p>,<p>Laundry Access</p>,0,2
1702 UNIVERSITY AVE #5,12/1/2013,"$1,260.97",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",0,2
1702 UNIVERSITY AVE #6,7/1/1997,$661.30,<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",0,0
1702 UNIVERSITY AVE #7,8/1/2007,$920.96,<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,2
,n/a,n/a,<p>OOCC - Owner Occupied since 1/18/1995</p>,"<p>Parking, Storage, Water</p>",-1,-1
2604 MATHEWS ST,6/15/2011,"$1,449.69",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,1
2606 MATHEWS ST,2/1/2017,"$2,600.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",1,2
1138 PARKER ST,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/2010</p>,"<p>Appliances, Garbage, Laundry Access, Water</p>",-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 6/25/2007</p>",<p>(no active services)</p>,-1,-1
1814 STUART ST,n/a,n/a,<p>NAR - Not Available for Rent since 6/23/2007</p>,<p>(no active services)</p>,-1,-1
1816 STUART ST,n/a,n/a,<p>NAR - Not Available for Rent since 12/31/1994</p>,"<p>Garbage, Parking, Water</p>",-1,-1
1818 STUART ST,n/a,n/a,<p>NAR - Not Available for Rent since 7/1/1999</p>,<p>(no active services)</p>,-1,-1
1840 VINE ST,1/4/2011,"$1,951.51",<p>RENTED - Rented or Available</p>,<p>Water</p>,2,3
1844 VINE ST,3/1/2013,"$4,150.99",<p>RENTED - Rented or Available</p>,<p>Water</p>,4,4
,n/a,n/a,<p>OOCC - Owner Occupied since 6/30/1994</p>,<p>Garbage</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 6/20/1994</p>,"<p>Garbage, Other, Water</p>",-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 6/30/1997</p>",<p>(no active services)</p>,-1,-1
36 ROANOKE RD #A,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Garbage, Water</p>",-1,-1
36 ROANOKE RD #B,n/a,n/a,<p>OOCC - Owner Occupied since 8/17/1990</p>,<p>(no active services)</p>,-1,-1
1498 ROSE ST,4/1/2016,"$3,069.00",<p>RENTED - Rented or Available</p>,<p>Parking</p>,2,2
1500 SACRAMENTO ST,5/1/2017,"$4,500.00",<p>RENTED - Rented or Available</p>,<p>Parking</p>,4,5
1701 OXFORD ST,3/8/2013,"$3,881.44",<p>RENTED - Rented or Available</p>,"<p>Appliances, Furnishings, Garbage, Laundry Access, Other, Parking, Water</p>",1,2
1703 OXFORD ST,3/31/2013,"$3,881.44",<p>RENTED - Rented or Available</p>,"<p>Appliances, Furnishings, Garbage, Laundry Access, Other, Parking, Water</p>",1,2
1705 OXFORD ST,2/18/2013,"$3,881.44",<p>RENTED - Rented or Available</p>,"<p>Appliances, Furnishings, Garbage, Laundry Access, Other, Parking, Water</p>",1,3
1707 OXFORD ST,3/19/2013,"$3,881.44",<p>RENTED - Rented or Available</p>,"<p>Appliances, Furnishings, Garbage, Laundry Access, Other, Parking, Water</p>",1,1
1530 ARCH ST #1,10/4/1996,"$1,100.93",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Storage, Water</p>",2,0
1530 ARCH ST #2,6/1/2004,"$2,415.01",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",2,2
1530 ARCH ST #3,6/1/2006,"$2,876.88",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",2,4
1530 ARCH ST #4,5/1/2012,"$3,015.39",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",2,3
1532 ARCH ST,6/18/2007,"$2,873.60",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage</p>",2,3
,n/a,n/a,<p>OOCC - Owner Occupied since 6/30/1994</p>,<p>Water</p>,-1,-1
1932 BLAKE ST,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/2010</p>,"<p>Appliances, Garbage, Laundry Access, Other, Parking, Storage, Water</p>",-1,-1
1934 BLAKE ST,8/1/2011,"$1,115.14",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Laundry Access, Water</p>",1,1
,n/a,n/a,<p>OOCC - Owner Occupied since 5/15/1997</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Garbage, Parking</p>",-1,-1
1500 JOSEPHINE ST,2/1/2010,"$1,189.64",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access</p>",1,1
1816 VINE ST,7/1/2007,"$1,443.34",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,1
1818 VINE ST,2/1/2018,"$2,500.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access</p>",2,2
1820 VINE ST,8/1/2014,"$1,301.77",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,1
2423 EUNICE ST,7/15/2017,"$2,700.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access, Parking, Water</p>",2,2
2425 EUNICE ST,n/a,n/a,<p>OOCC - Owner Occupied since 8/15/2012</p>,"<p>Appliances, Garbage, Heat</p>",-1,-1
2223 MARIN AVE,n/a,n/a,<p>OOCC - Owner Occupied since 9/28/2004</p>,<p>Garbage</p>,-1,-1
2223 MARIN AVE #APT,n/a,n/a,<p>NAR - Not Available for Rent since 9/1/2007</p>,"<p>Appliances, Garbage, Laundry Access, Other, Parking, Storage</p>",-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 8/1/2000</p>","<p>Laundry Access, Parking, Storage</p>",-1,-1
,n/a,n/a,"<p>CHSFD - Single family, C-H exempt since 2/28/2002</p>",<p>(no active services)</p>,-1,-1
2009 CHANNING WAY,n/a,n/a,<p>(~) MISC - Exempt-Misc since 5/1/2000</p>,"<p>Furnishings, Garbage, Sewer, Water</p>",-1,-1
2011 CHANNING WAY,n/a,n/a,<p>OOCC - Owner Occupied since 12/14/1993</p>,"<p>Electricity, Gas, Water</p>",-1,-1
2011 CHANNING WAY #1/2,n/a,n/a,<p>(~) MISC - Exempt-Misc since 6/30/2003</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 8/1/1996</p>,<p>(no active services)</p>,-1,-1
2675 SACRAMENTO ST,7/19/2015,"$2,082.83",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,2
2681 SACRAMENTO ST,6/16/2015,"$1,666.26",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,1
2685 SACRAMENTO ST,11/1/2012,"$1,315.80",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,1
2691 SACRAMENTO ST,2/8/2014,"$1,353.01",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,2
2695 SACRAMENTO ST,11/30/2015,"$1,488.18",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,2
2699 SACRAMENTO ST,3/2/2006,"$1,174.72",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,2
,n/a,n/a,<p>OOCC - Owner Occupied since 5/1/1990</p>,"<p>Laundry Access, Parking, Storage</p>",-1,-1
1195 WALNUT ST #1,n/a,n/a,<p>OOCC - Owner Occupied since 7/1/1995</p>,<p>(no active services)</p>,-1,-1
1195 WALNUT ST #2,n/a,n/a,<p>(~) MISC - Exempt-Misc since 7/13/2001</p>,<p>(no active services)</p>,-1,-1
2441 BONAR ST,7/1/2015,"$1,400.70",<p>RENTED - Rented or Available</p>,<p>Water</p>,0,1
2443 BONAR ST,4/1/2014,"$1,263.16",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,1
2445 BONAR ST,7/1/2016,"$1,525.80",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,1
2447 BONAR ST,6/15/2002,$792.58,<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",0,1
2449 BONAR ST,8/1/2016,"$1,525.80",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,1
2451 BONAR ST,8/15/2016,"$1,321.20",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,1
2453 BONAR ST,7/23/2013,"$1,132.09",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",0,1
2455 BONAR ST,n/a,$937.22,<p>RENTED - Rented or Available since 8/1/2009</p>,"<p>Garbage, Water</p>",0,-1
1349 JOSEPHINE ST #F,n/a,n/a,<p>OOCC - Owner Occupied since 5/1/2000</p>,"<p>Garbage, Parking, Water</p>",-1,-1
1349 JOSEPHINE ST #R,4/1/2016,"$1,994.85",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Other, Storage, Water</p>",1,1
2015 MCGEE AVE,8/24/2017,"$1,875.00",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,2
2017 MCGEE AVE,8/5/2012,"$1,474.81",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,1,1
2019 MCGEE AVE,8/10/2015,"$1,848.51",<p>RENTED - Rented or Available</p>,<p>Garbage</p>,0,2
1500 MILVIA ST,n/a,n/a,<p>OOCC - Owner Occupied since 4/10/2003</p>,"<p>Other, Water</p>",-1,-1
1502 MILVIA ST,n/a,n/a,<p>DUPLEX - Owner Occ duplex since 4/10/2003</p>,<p>(no active services)</p>,-1,-1
2711 FOREST AVE,5/1/2017,"$3,825.00",<p>RENTED - Rented or Available</p>,"<p>Garbage, Laundry Access</p>",3,3
2713 FOREST AVE,n/a,n/a,<p>OOCC - Owner Occupied since 6/30/1994</p>,"<p>Garbage, Parking</p>",-1,-1
1177 DELAWARE ST,1/1/1981,$808.87,<p>RENTED - Rented or Available</p>,<p>Garbage</p>,2,0
1179 DELAWARE ST,n/a,$944.97,<p>RENTED - Rented or Available since 7/27/1992</p>,<p>Garbage</p>,2,-1
1181 DELAWARE ST,n/a,$774.22,<p>RENTED - Rented or Available since 3/30/1994</p>,<p>Garbage</p>,2,-1
1183 DELAWARE ST,2/15/2007,"$1,583.41",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking</p>",2,2
1715 DWIGHT WAY,n/a,"$1,369.40",<p>RENTED - Rented or Available since 7/1/1997</p>,"<p>Garbage, Parking</p>",4,-1
1721 DWIGHT WAY,5/1/2016,"$1,841.40",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Sewer, Water</p>",1,2
1721 DWIGHT WAY #A,n/a,$615.27,<p>RENTED - Rented or Available since 2/28/1995</p>,"<p>Parking, Water</p>",1,-1
2440 ROOSEVELT AVE,n/a,$730.99,<p>RENTED - Rented or Available since 7/1/2010</p>,"<p>Electricity, Furnishings, Garbage, Gas, Water</p>",1,-1
2442 ROOSEVELT AVE,2/1/2007,"$1,318.37",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",1,1
2442 ROOSEVELT AVE #A,n/a,$633.75,<p>RENTED - Rented or Available since 2/1/2004</p>,"<p>Appliances, Garbage, Parking, Water</p>",1,-1
2442 ROOSEVELT AVE #B,8/11/2012,"$1,206.16",<p>RENTED - Rented or Available</p>,<p>(no active services)</p>,1,1
2444 ROOSEVELT AVE,11/21/2017,"$1,825.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Garbage, Laundry Access</p>",1,2
2446 ROOSEVELT AVE,6/20/2014,"$1,744.11",<p>RENTED - Rented or Available</p>,"<p>Laundry Access, Parking, Water</p>",1,2
,n/a,n/a,<p>OOCC - Owner Occupied since 3/18/1996</p>,<p>(no active services)</p>,-1,-1
1800 BLAKE ST #LOWER,8/1/2006,"$2,067.21",<p>RENTED - Rented or Available</p>,"<p>Garbage, Parking, Water</p>",2,3
1800 BLAKE ST #UPPER,8/1/2007,"$2,171.35",<p>RENTED - Rented or Available</p>,"<p>Garbage, Water</p>",3,4
2531 GRANT ST #1,n/a,n/a,<p>NAR - Not Available for Rent since 7/1/2010</p>,"<p>Appliances, Laundry Access</p>",-1,-1
2533 GRANT ST #LOWER,n/a,n/a,<p>NAR - Not Available for Rent since 7/1/2010</p>,<p>Appliances</p>,-1,-1
3138 LEWISTON AVE,n/a,n/a,<p>OOCC - Owner Occupied since 8/9/1990</p>,<p>(no active services)</p>,-1,-1
3140 LEWISTON AVE,n/a,n/a,<p>OOCC - Owner Occupied since 8/9/1990</p>,<p>(no active services)</p>,-1,-1
,n/a,n/a,<p>OOCC - Owner Occupied since 6/10/1993</p>,"<p>Garbage, Laundry Access, Storage, Water</p>",-1,-1
2008 SHATTUCK AVE #3,4/5/2005,$737.92,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Heat, Water</p>",0,1
2008 SHATTUCK AVE #4,5/31/1980,$693.25,<p>RENTED - Rented or Available</p>,"<p>Electricity, Gas</p>",0,0
2008 SHATTUCK AVE #5,5/31/1980,$693.25,<p>RENTED - Rented or Available</p>,"<p>Electricity, Gas</p>",0,0
2008 SHATTUCK AVE #6,1/20/2015,$781.06,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Heat, Water</p>",0,1
2008 SHATTUCK AVE #7,1/8/2015,$833.13,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Heat, Water</p>",0,1
2008 SHATTUCK AVE #8,9/27/2013,$754.72,<p>RENTED - Rented or Available</p>,"<p>Electricity, Garbage, Gas, Heat, Water</p>",0,1
2008 SHATTUCK AVE #9,7/1/2017,"$1,250.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Water</p>",0,1
2008 SHATTUCK AVE #10,5/1/2017,"$1,100.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Water</p>",0,1
2008 SHATTUCK AVE #11,12/1/2017,$634.00,<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Water</p>",0,1
2008 SHATTUCK AVE #12,10/13/2017,"$1,300.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Water</p>",1,1
2008 SHATTUCK AVE #14,7/1/2017,"$1,150.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Water</p>",0,1
2008 SHATTUCK AVE #15,12/1/2017,"$1,100.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Water</p>",0,1
2008 SHATTUCK AVE #16,2/1/2016,$713.03,<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Heat, Water</p>",0,1
2008 SHATTUCK AVE #17,12/31/2017,"$1,100.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Water</p>",0,1
2008 SHATTUCK AVE #18,1/12/2018,"$1,050.00",<p>RENTED - Rented or Available</p>,"<p>Appliances, Electricity, Garbage, Gas, Heat, Water</p>",0,1
